Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country,N,% censored,MIC50,MIC90,GeoMean,P25,P75,IQR_log2,Skewness,Kurtosis,Modal_MIC,PctR
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Chile,73,1.37,0.12,0.25,0.1343,0.12,0.12,0.0,0.345,2.463,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Kenya,44,0.0,0.12,0.25,0.1418,0.12,0.12,0.0,1.302,-0.306,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Kuwait,82,0.0,0.12,0.25,0.1517,0.12,0.25,1.059,-0.015,-0.784,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Lebanon,21,0.0,0.12,0.25,0.1435,0.12,0.25,1.059,-0.109,-0.666,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Morocco,19,0.0,0.12,0.25,0.1566,0.12,0.185,0.624,2.681,7.775,0.12,5.26
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Pakistan,94,0.0,0.12,0.25,0.1717,0.12,0.25,1.059,2.027,7.505,0.12,3.19
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Philippines,17,0.0,0.25,0.25,0.2015,0.12,0.25,1.059,-0.904,-1.183,0.25,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Saudi Arabia,36,0.0,0.12,0.25,0.1387,0.12,0.1525,0.346,0.309,-0.065,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Singapore,34,2.94,0.12,0.25,0.1136,0.12,0.12,0.0,-0.422,0.776,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Tunisia,79,0.0,0.12,0.25,0.1249,0.12,0.12,0.0,0.485,2.497,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Turkey,179,1.12,0.12,0.25,0.1298,0.12,0.12,0.0,3.155,21.319,0.12,1.12
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Ukraine,78,0.0,0.12,0.25,0.1311,0.12,0.12,0.0,0.213,0.253,0.12,0.0
Streptococcus pneumoniae,MXF,Moxifloxacin,high,Vietnam,161,0.0,0.12,0.25,0.1538,0.12,0.12,0.0,2.754,7.92,0.12,6.83
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Argentina,95,54.74,0.015,0.5,0.0344,0.015,0.06,2.0,1.327,0.508,0.015,1.05
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Cambodia,48,29.17,0.12,1.0,0.1012,0.015,0.5,5.059,0.11,-1.385,0.015,12.5
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Chile,73,21.92,0.12,1.0,0.095,0.03,0.25,3.059,0.218,-1.199,0.015,12.33
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Kenya,44,9.09,0.25,1.0,0.213,0.12,0.5,2.059,-0.362,-0.6,0.12,20.45
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Kuwait,82,25.61,0.12,1.0,0.1193,0.01875,0.5,4.737,-0.166,-1.359,0.015,10.98
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Lebanon,21,66.67,0.015,0.25,0.0333,0.015,0.12,3.0,0.814,-1.191,0.015,0.0
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Morocco,19,78.95,0.015,1.0,0.0251,0.015,0.015,0.0,2.452,4.218,0.015,10.53
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Pakistan,94,13.83,0.12,0.25,0.0979,0.075,0.12,0.678,-0.783,-0.165,0.12,0.0
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Philippines,17,94.12,0.015,0.015,0.0156,0.015,0.015,0.0,3.75,12.062,0.015,0.0
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Saudi Arabia,36,33.33,0.06,1.0,0.0829,0.015,0.25,4.059,0.326,-1.254,0.015,11.11
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Singapore,34,23.53,0.12,2.0,0.1661,0.03,1.0,5.059,-0.092,-1.438,0.015,32.35
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Tunisia,79,10.13,0.5,1.0,0.2775,0.25,0.5,1.0,-1.194,0.337,0.5,20.25
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Turkey,179,21.79,0.25,1.0,0.1744,0.045,1.0,4.474,-0.276,-1.392,1.0,29.61
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Ukraine,78,41.03,0.03,0.5,0.0447,0.015,0.06,2.0,1.18,0.087,0.015,7.69
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Vietnam,161,1.24,1.0,2.0,0.6589,0.25,1.0,2.0,-0.611,1.301,1.0,56.52
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Argentina,95,3.16,0.12,4.0,0.1456,0.06,0.25,2.059,1.477,1.603,0.06,11.58
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Cambodia,48,2.08,0.25,8.0,0.5133,0.105,4.0,5.252,0.148,-1.397,0.12,41.67
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Chile,73,1.37,0.25,8.0,0.3878,0.06,2.0,5.059,0.471,-1.037,0.06,31.51
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Kenya,44,0.0,0.5,8.0,0.808,0.25,4.0,4.0,0.054,-1.122,0.25,50.0
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Kuwait,82,0.0,0.5,8.0,0.6367,0.12,4.0,5.059,0.235,-1.339,0.25,39.02
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Lebanon,21,0.0,0.06,0.5,0.1343,0.06,0.5,3.059,0.701,-1.156,0.06,4.76
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Morocco,19,0.0,0.06,8.0,0.108,0.06,0.12,1.0,2.272,3.747,0.06,10.53
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Pakistan,94,0.0,0.5,1.0,0.3749,0.25,0.5,1.0,-0.244,0.403,0.5,23.4
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Philippines,17,0.0,0.06,0.12,0.0708,0.06,0.06,0.0,2.291,4.157,0.06,0.0
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Saudi Arabia,36,0.0,0.25,8.0,0.4209,0.06,4.0,6.059,0.339,-1.36,0.06,38.89
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Singapore,34,8.82,0.5,16.0,0.8733,0.12,8.0,6.059,-0.071,-1.529,16.0,50.0
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Tunisia,79,0.0,4.0,8.0,2.0778,0.5,8.0,4.0,-1.097,-0.127,8.0,73.42
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Turkey,179,0.56,2.0,16.0,1.21,0.12,8.0,6.059,-0.267,-1.431,8.0,55.87
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Ukraine,78,0.0,0.12,4.0,0.1876,0.06,0.25,2.059,1.39,0.769,0.12,16.67
Streptococcus pneumoniae,DIN,Cefdinir (alternate code - see note),low,Vietnam,161,6.83,8.0,16.0,4.3179,4.0,8.0,1.0,-1.44,2.02,8.0,90.68
Haemophilus influenzae,AMP,Ampicillin,high,Argentina,89,16.85,0.12,8.0,0.3781,0.12,1.0,3.059,1.08,-0.04,0.12,22.47
Haemophilus influenzae,AMP,Ampicillin,high,Cambodia,30,20.0,0.12,4.0,0.3618,0.12,1.75,3.866,1.013,-0.046,0.12,26.67
Haemophilus influenzae,AMP,Ampicillin,high,Chile,77,23.38,0.12,16.0,0.3232,0.12,0.5,2.059,1.439,0.862,0.12,18.18
Haemophilus influenzae,AMP,Ampicillin,high,Costa Rica,52,9.62,0.5,16.0,0.7558,0.12,2.5,4.381,0.763,-0.322,0.12,28.85
Haemophilus influenzae,AMP,Ampicillin,high,Pakistan,122,6.56,0.25,0.5,0.2116,0.12,0.25,1.059,3.142,13.328,0.12,3.28
Haemophilus influenzae,AMP,Ampicillin,high,Philippines,59,32.2,0.12,4.0,0.2162,0.06,0.25,2.059,1.524,1.152,0.12,15.25
Haemophilus influenzae,AMP,Ampicillin,high,Saudi Arabia,55,21.82,0.12,2.0,0.2042,0.12,0.375,1.644,1.208,0.585,0.12,12.73
Haemophilus influenzae,AMP,Ampicillin,high,Singapore,80,7.5,1.0,64.0,1.7429,0.25,32.0,7.0,0.45,-1.122,1.0,38.75
Haemophilus influenzae,AMP,Ampicillin,high,Tunisia,74,14.86,0.25,32.0,0.7153,0.12,4.0,5.059,0.676,-0.927,0.12,35.14
Haemophilus influenzae,AMP,Ampicillin,high,Turkey,239,9.62,0.25,4.0,0.4056,0.12,0.5,2.059,1.903,3.424,0.12,12.97
Haemophilus influenzae,AMP,Ampicillin,high,Ukraine,99,40.4,0.12,1.0,0.176,0.06,0.5,3.059,1.485,1.635,0.06,9.09
Haemophilus influenzae,AMP,Ampicillin,high,Vietnam,89,22.47,64.0,128.0,23.7696,8.0,128.0,4.0,-1.154,0.335,128.0,88.76
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Argentina,89,11.24,0.5,2.0,0.4707,0.25,1.0,2.0,-0.751,0.019,0.5,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Cambodia,30,0.0,0.5,1.0,0.6447,0.5,0.5,0.0,1.904,3.132,0.5,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Chile,77,6.49,0.5,1.0,0.5345,0.5,1.0,1.0,-0.847,0.442,1.0,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Costa Rica,52,5.77,1.0,2.0,0.7848,0.5,2.0,2.0,-0.591,0.689,0.5,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Pakistan,122,1.64,0.5,1.0,0.4636,0.3125,0.5,0.678,-0.062,2.476,0.5,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Philippines,59,16.95,0.25,1.0,0.2988,0.25,0.5,1.0,-0.129,-0.16,0.5,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Saudi Arabia,55,7.27,0.5,2.0,0.5302,0.5,1.0,1.0,-0.015,0.44,0.5,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Singapore,80,1.25,1.0,4.0,1.2514,0.5,2.0,2.0,-0.255,-0.137,2.0,6.25
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Tunisia,74,6.76,0.5,2.0,0.624,0.5,1.0,1.0,-0.538,0.873,1.0,0.0
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Turkey,239,6.69,0.5,2.0,0.4957,0.25,1.0,2.0,0.103,-0.104,0.5,0.84
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Ukraine,99,17.17,0.5,2.0,0.3725,0.25,0.5,1.0,0.071,0.139,0.5,1.01
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Vietnam,89,5.62,1.0,4.0,1.0949,0.5,2.0,2.0,-0.619,0.087,1.0,4.49
Haemophilus influenzae,AXO,Ceftriaxone,high,Argentina,89,87.64,0.015,0.03,0.017,0.015,0.015,0.0,6.772,52.579,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Cambodia,30,90.0,0.015,0.015,0.0176,0.015,0.015,0.0,2.897,6.929,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Chile,77,97.4,0.015,0.015,0.0155,0.015,0.015,0.0,5.96,33.527,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Costa Rica,52,98.08,0.015,0.015,0.0152,0.015,0.015,0.0,7.001,47.02,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Pakistan,122,90.16,0.015,0.015,0.0167,0.015,0.015,0.0,4.733,24.331,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Philippines,59,98.31,0.015,0.015,0.0152,0.015,0.015,0.0,7.484,54.017,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Saudi Arabia,55,89.09,0.015,0.03,0.0179,0.015,0.015,0.0,4.453,19.034,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Singapore,80,85.0,0.015,0.03,0.019,0.015,0.015,0.0,2.661,5.885,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Tunisia,74,90.54,0.015,0.015,0.0186,0.015,0.015,0.0,4.365,18.738,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Turkey,239,90.79,0.015,0.015,0.0169,0.015,0.015,0.0,4.774,25.24,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Ukraine,99,90.91,0.015,0.015,0.0161,0.015,0.015,0.0,3.432,11.95,0.015,0.0
Haemophilus influenzae,AXO,Ceftriaxone,high,Vietnam,89,5.62,0.12,0.25,0.1359,0.12,0.25,1.059,-0.176,0.901,0.12,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Argentina,89,3.37,0.5,1.0,0.4761,0.25,1.0,2.0,-0.767,1.883,0.5,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Cambodia,30,0.0,0.5,2.0,0.6147,0.3125,1.0,1.678,0.874,0.947,0.5,3.33
Haemophilus influenzae,CXM,Cefuroxime,moderate,Chile,77,1.3,0.5,1.0,0.5083,0.5,1.0,1.0,-1.467,3.163,0.5,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Costa Rica,52,0.0,0.5,2.0,0.7552,0.5,1.0,1.0,-0.761,2.747,0.5,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Pakistan,122,0.82,0.5,1.0,0.6166,0.5,1.0,1.0,-0.172,3.137,0.5,0.82
Haemophilus influenzae,CXM,Cefuroxime,moderate,Philippines,59,3.39,0.5,1.0,0.3972,0.25,0.75,1.585,-0.565,0.269,0.5,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Saudi Arabia,55,3.64,0.5,2.0,0.5584,0.375,1.0,1.415,-0.043,1.473,0.5,3.64
Haemophilus influenzae,CXM,Cefuroxime,moderate,Singapore,80,0.0,2.0,4.0,1.402,1.0,2.0,1.0,0.598,1.63,2.0,5.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Tunisia,74,0.0,0.5,1.0,0.5745,0.5,1.0,1.0,-0.777,1.434,0.5,0.0
Haemophilus influenzae,CXM,Cefuroxime,moderate,Turkey,239,0.42,0.5,2.0,0.6809,0.5,1.0,1.0,0.086,0.84,0.5,1.26
Haemophilus influenzae,CXM,Cefuroxime,moderate,Ukraine,99,4.04,0.5,1.0,0.398,0.25,0.5,1.0,-0.249,1.535,0.5,1.01
Haemophilus influenzae,CXM,Cefuroxime,moderate,Vietnam,89,12.36,4.0,32.0,4.6358,2.0,16.0,3.0,-0.21,-0.47,2.0,48.31
Haemophilus influenzae,FIX,Cefixime,high,Argentina,89,33.71,0.03,0.12,0.0312,0.015,0.03,1.0,2.151,6.328,0.03,1.12
Haemophilus influenzae,FIX,Cefixime,high,Cambodia,30,16.67,0.03,0.12,0.0397,0.03,0.03,0.0,1.932,3.344,0.03,0.0
Haemophilus influenzae,FIX,Cefixime,high,Chile,77,40.26,0.03,0.06,0.0265,0.015,0.03,1.0,1.751,4.883,0.03,0.0
Haemophilus influenzae,FIX,Cefixime,high,Costa Rica,52,21.15,0.03,0.03,0.0284,0.03,0.03,0.0,0.93,2.441,0.03,0.0
Haemophilus influenzae,FIX,Cefixime,high,Pakistan,122,25.41,0.03,0.06,0.03,0.01875,0.03,0.678,3.397,21.851,0.03,0.82
Haemophilus influenzae,FIX,Cefixime,high,Philippines,59,57.63,0.015,0.03,0.0221,0.015,0.03,1.0,1.959,4.864,0.015,0.0
Haemophilus influenzae,FIX,Cefixime,high,Saudi Arabia,55,23.64,0.03,0.06,0.0354,0.03,0.06,1.0,2.555,8.52,0.03,1.82
Haemophilus influenzae,FIX,Cefixime,high,Singapore,80,7.5,0.06,0.5,0.0707,0.03,0.075,1.322,1.168,0.232,0.03,2.5
Haemophilus influenzae,FIX,Cefixime,high,Tunisia,74,29.73,0.03,0.25,0.0439,0.015,0.06,2.0,1.439,2.174,0.03,1.35
Haemophilus influenzae,FIX,Cefixime,high,Turkey,239,28.45,0.03,0.12,0.0331,0.015,0.03,1.0,2.094,5.286,0.03,0.42
Haemophilus influenzae,FIX,Cefixime,high,Ukraine,99,29.29,0.03,0.06,0.0278,0.015,0.03,1.0,1.326,3.883,0.03,0.0
Haemophilus influenzae,FIX,Cefixime,high,Vietnam,89,1.12,1.0,4.0,0.7949,0.5,2.0,2.0,-0.892,1.871,0.5,29.21
Haemophilus influenzae,POD,Cefpodoxime,moderate,Argentina,89,16.85,0.06,0.12,0.0511,0.03,0.06,1.0,0.24,-0.326,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Cambodia,30,6.67,0.06,0.25,0.0798,0.06,0.12,1.0,0.934,0.624,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Chile,77,19.48,0.06,0.12,0.052,0.03,0.12,2.0,0.176,0.988,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Costa Rica,52,0.0,0.06,0.12,0.0678,0.03,0.12,2.0,0.004,-1.13,0.12,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Pakistan,122,1.64,0.06,0.12,0.0605,0.06,0.06,0.0,1.331,3.396,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Philippines,59,20.34,0.06,0.12,0.0448,0.03,0.06,1.0,0.163,-0.813,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Saudi Arabia,55,10.91,0.06,0.25,0.0669,0.03,0.12,2.0,0.505,0.111,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Singapore,80,3.75,0.12,0.5,0.1366,0.06,0.25,2.059,0.567,0.05,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Tunisia,74,5.41,0.06,0.12,0.0761,0.06,0.12,1.0,0.733,1.058,0.06,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Turkey,239,17.99,0.12,0.5,0.0964,0.06,0.25,2.059,0.943,1.665,0.06,2.51
Haemophilus influenzae,POD,Cefpodoxime,moderate,Ukraine,99,14.14,0.06,0.12,0.047,0.03,0.06,1.0,0.263,-0.642,0.03,0.0
Haemophilus influenzae,POD,Cefpodoxime,moderate,Vietnam,89,44.94,2.0,8.0,0.3924,0.015,4.0,8.059,-0.198,-1.732,0.015,35.96
Haemophilus influenzae,AZM,Azithromycin,high,Argentina,89,2.25,0.5,1.0,0.41,0.25,0.5,1.0,-1.114,2.083,0.5,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Cambodia,30,0.0,1.0,1.0,0.6752,0.5,1.0,1.0,-0.764,-0.532,1.0,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Chile,77,7.79,0.5,16.0,0.8406,0.5,1.0,1.0,1.624,2.195,0.5,10.39
Haemophilus influenzae,AZM,Azithromycin,high,Costa Rica,52,0.0,0.5,1.0,0.5119,0.5,1.0,1.0,-0.752,-0.13,0.5,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Pakistan,122,0.0,1.0,1.0,0.8285,0.5,1.0,1.0,0.859,13.062,1.0,1.64
Haemophilus influenzae,AZM,Azithromycin,high,Philippines,59,0.0,0.5,0.5,0.3715,0.25,0.5,1.0,-0.311,-0.203,0.5,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Saudi Arabia,55,0.0,0.5,1.0,0.5722,0.5,1.0,1.0,-0.447,2.636,0.5,1.82
Haemophilus influenzae,AZM,Azithromycin,high,Singapore,80,1.25,0.5,1.0,0.6357,0.5,1.0,1.0,1.323,8.862,0.5,2.5
Haemophilus influenzae,AZM,Azithromycin,high,Tunisia,74,0.0,0.5,1.0,0.5283,0.5,1.0,1.0,-0.344,0.082,0.5,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Turkey,239,0.42,0.5,1.0,0.4894,0.25,1.0,2.0,-0.589,0.365,0.5,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Ukraine,99,0.0,0.5,1.0,0.455,0.25,0.5,1.0,-0.49,0.186,0.5,0.0
Haemophilus influenzae,AZM,Azithromycin,high,Vietnam,89,7.87,0.5,16.0,0.6909,0.25,1.0,2.0,1.24,0.652,0.25,12.36
Haemophilus influenzae,CLA,Clarithromycin,moderate,Argentina,89,2.25,4.0,8.0,2.6631,2.0,4.0,1.0,-2.291,7.303,4.0,2.25
Haemophilus influenzae,CLA,Clarithromycin,moderate,Cambodia,30,0.0,4.0,8.0,4.2871,4.0,8.0,1.0,-0.14,-0.96,4.0,0.0
Haemophilus influenzae,CLA,Clarithromycin,moderate,Chile,77,3.9,4.0,16.0,4.1842,2.0,4.0,1.0,1.321,1.408,4.0,10.39
Haemophilus influenzae,CLA,Clarithromycin,moderate,Costa Rica,52,0.0,4.0,8.0,4.2757,4.0,8.0,1.0,-0.346,0.042,4.0,3.85
Haemophilus influenzae,CLA,Clarithromycin,moderate,Pakistan,122,1.64,8.0,8.0,6.2284,4.0,8.0,1.0,-2.973,17.89,8.0,6.56
Haemophilus influenzae,CLA,Clarithromycin,moderate,Philippines,59,0.0,2.0,4.0,2.2759,2.0,4.0,1.0,0.17,-0.341,2.0,0.0
Haemophilus influenzae,CLA,Clarithromycin,moderate,Saudi Arabia,55,0.0,4.0,8.0,4.1021,3.0,8.0,1.415,0.284,0.702,4.0,5.45
Haemophilus influenzae,CLA,Clarithromycin,moderate,Singapore,80,3.75,4.0,8.0,4.7958,4.0,8.0,1.0,-2.904,16.415,4.0,3.75
Haemophilus influenzae,CLA,Clarithromycin,moderate,Tunisia,74,0.0,4.0,4.0,3.223,2.0,4.0,1.0,-2.647,12.834,4.0,0.0
Haemophilus influenzae,CLA,Clarithromycin,moderate,Turkey,239,2.51,4.0,8.0,3.693,3.0,8.0,1.415,-2.161,5.876,8.0,3.77
Haemophilus influenzae,CLA,Clarithromycin,moderate,Ukraine,99,0.0,4.0,8.0,3.1514,2.0,4.0,1.0,-1.542,5.978,4.0,0.0
Haemophilus influenzae,CLA,Clarithromycin,moderate,Vietnam,89,29.21,4.0,16.0,1.4068,0.25,8.0,5.0,-0.731,-0.793,4.0,10.11
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Argentina,89,4.49,0.12,8.0,0.3012,0.06,4.0,6.059,0.618,-1.094,0.12,31.46
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Cambodia,30,6.67,2.0,16.0,1.1043,0.12,8.0,6.059,-0.191,-1.705,16.0,56.67
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Chile,77,3.9,0.12,8.0,0.2648,0.12,0.25,1.059,0.971,-0.22,0.12,22.08
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Costa Rica,52,1.92,0.25,8.0,0.5311,0.06,8.0,7.059,0.164,-1.603,8.0,46.15
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Pakistan,122,4.1,2.0,16.0,1.0206,0.075,8.0,6.737,-0.328,-1.543,16.0,59.02
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Philippines,59,1.69,4.0,16.0,1.0561,0.12,8.0,6.059,-0.319,-1.593,8.0,57.63
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Saudi Arabia,55,7.27,0.25,16.0,0.5705,0.09,8.0,6.474,0.101,-1.537,0.12,47.27
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Singapore,80,10.0,0.12,16.0,0.3338,0.03,8.0,8.059,0.376,-1.614,0.03,38.75
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Tunisia,74,2.7,0.5,16.0,0.8646,0.12,8.0,6.059,-0.035,-1.528,8.0,48.65
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Turkey,239,5.86,0.25,16.0,0.3765,0.06,2.0,5.059,0.634,-1.005,0.06,32.64
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Ukraine,99,0.0,0.25,8.0,0.4442,0.06,4.0,6.059,0.41,-1.426,0.12,38.38
Haemophilus influenzae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Vietnam,89,26.97,16.0,16.0,9.2546,16.0,16.0,0.0,-2.82,6.726,16.0,92.13
Haemophilus influenzae,LEV,Levofloxacin,high,Argentina,89,2.25,0.015,0.03,0.0208,0.015,0.03,1.0,2.127,10.94,0.015,0.0
Haemophilus influenzae,LEV,Levofloxacin,high,Cambodia,30,6.67,0.015,0.06,0.0245,0.015,0.03,1.0,3.459,14.29,0.015,3.33
Haemophilus influenzae,LEV,Levofloxacin,high,Chile,77,0.0,0.03,0.03,0.024,0.015,0.03,1.0,-0.612,0.278,0.03,0.0
Haemophilus influenzae,LEV,Levofloxacin,high,Costa Rica,52,0.0,0.015,0.03,0.0207,0.015,0.03,1.0,-0.391,-1.0,0.03,0.0
Haemophilus influenzae,LEV,Levofloxacin,high,Pakistan,122,17.21,0.5,8.0,0.3284,0.03,1.0,5.059,-0.143,-1.214,0.5,22.95
Haemophilus influenzae,LEV,Levofloxacin,high,Philippines,59,0.0,0.03,0.03,0.0203,0.015,0.03,1.0,-0.396,-0.614,0.03,0.0
Haemophilus influenzae,LEV,Levofloxacin,high,Saudi Arabia,55,1.82,0.03,0.06,0.0309,0.015,0.03,1.0,3.084,11.448,0.03,1.82
Haemophilus influenzae,LEV,Levofloxacin,high,Singapore,80,2.5,0.015,0.03,0.0187,0.015,0.015,0.0,4.178,19.285,0.015,1.25
Haemophilus influenzae,LEV,Levofloxacin,high,Tunisia,74,6.76,0.03,0.03,0.0314,0.015,0.03,1.0,2.745,7.919,0.03,4.05
Haemophilus influenzae,LEV,Levofloxacin,high,Turkey,239,5.44,0.015,0.06,0.0235,0.015,0.0225,0.585,3.034,8.846,0.015,4.6
Haemophilus influenzae,LEV,Levofloxacin,high,Ukraine,99,2.02,0.015,0.03,0.0194,0.015,0.03,1.0,-0.547,1.0,0.015,0.0
Haemophilus influenzae,LEV,Levofloxacin,high,Vietnam,89,17.98,1.0,8.0,0.4666,0.015,8.0,9.059,-0.254,-1.628,8.0,40.45
Haemophilus influenzae,MXF,Moxifloxacin,low,Argentina,89,3.37,0.015,0.03,0.0204,0.015,0.03,1.0,1.845,11.457,0.015,0.0
Haemophilus influenzae,MXF,Moxifloxacin,low,Cambodia,30,3.33,0.015,0.03,0.0233,0.015,0.03,1.0,4.235,18.602,0.015,3.33
Haemophilus influenzae,MXF,Moxifloxacin,low,Chile,77,0.0,0.03,0.03,0.0228,0.015,0.03,1.0,-0.277,-0.19,0.03,0.0
Haemophilus influenzae,MXF,Moxifloxacin,low,Costa Rica,52,0.0,0.015,0.03,0.021,0.015,0.03,1.0,-0.11,-0.576,0.03,0.0
Haemophilus influenzae,MXF,Moxifloxacin,low,Pakistan,122,11.48,0.5,8.0,0.3156,0.03,1.0,5.059,-0.126,-1.181,0.5,22.95
Haemophilus influenzae,MXF,Moxifloxacin,low,Philippines,59,1.69,0.015,0.03,0.0186,0.015,0.03,1.0,0.045,0.757,0.015,0.0
Haemophilus influenzae,MXF,Moxifloxacin,low,Saudi Arabia,55,1.82,0.03,0.06,0.0295,0.015,0.03,1.0,2.409,7.831,0.015,1.82
